model,curve_type,x_value,y_value,threshold
Logistic Regression,ROC,0.009782090027039924,0.3955119214586255,0.7279712942975688
Logistic Regression,ROC,0.009782090027039924,0.3962131837307153,0.7271202792194923
Logistic Regression,ROC,0.00986161921425163,0.3962131837307153,0.7269881127556765
Logistic Regression,ROC,0.00986161921425163,0.39901823281907434,0.7254373165941994
Logistic Regression,ROC,0.009941148401463337,0.39901823281907434,0.7252064048382203
Logistic Regression,ROC,0.009941148401463337,0.3997194950911641,0.7245984906202313
Logistic Regression,ROC,0.010020677588675043,0.3997194950911641,0.7245166318512238
Logistic Regression,ROC,0.010020677588675043,0.40042075736325383,0.7244344637086331
Logistic Regression,ROC,0.010100206775886751,0.40042075736325383,0.723694568424591
Logistic Regression,ROC,0.010100206775886751,0.4011220196353436,0.7235285357102516
Logistic Regression,ROC,0.010179735963098457,0.4011220196353436,0.7231072094782621
Logistic Regression,ROC,0.010179735963098457,0.40392706872370265,0.7217443383202627
Logistic Regression,ROC,0.010259265150310164,0.40392706872370265,0.7209614938277326
Logistic Regression,ROC,0.010259265150310164,0.4074333800841515,0.7198137618732656
Logistic Regression,ROC,0.01033879433752187,0.4074333800841515,0.7197776050101642
Logistic Regression,ROC,0.01033879433752187,0.40813464235624125,0.719770241267099
Logistic Regression,ROC,0.010418323524733578,0.40813464235624125,0.7195350870479734
Logistic Regression,ROC,0.010418323524733578,0.40953716690042075,0.718907317487851
Logistic Regression,ROC,0.010497852711945284,0.40953716690042075,0.7184174838675593
Logistic Regression,ROC,0.010497852711945284,0.4109396914446003,0.7180247954473736
Logistic Regression,ROC,0.01057738189915699,0.4109396914446003,0.7176553288071884
Logistic Regression,ROC,0.01057738189915699,0.4123422159887798,0.7175192971804123
Logistic Regression,ROC,0.010656911086368697,0.4123422159887798,0.717020225991703
Logistic Regression,ROC,0.010656911086368697,0.41374474053295934,0.7167504436719486
Logistic Regression,ROC,0.010736440273580405,0.41374474053295934,0.7162225181186864
Logistic Regression,ROC,0.010736440273580405,0.4172510518934081,0.7129712330429226
Logistic Regression,ROC,0.010895498648003817,0.4172510518934081,0.7122614582170612
Logistic Regression,ROC,0.010895498648003817,0.41865357643758766,0.7114372197354805
Logistic Regression,ROC,0.010975027835215524,0.41865357643758766,0.7113572790800373
Logistic Regression,ROC,0.010975027835215524,0.41935483870967744,0.7102170729427131
Logistic Regression,ROC,0.011054557022427232,0.41935483870967744,0.709947986357762
Logistic Regression,ROC,0.011054557022427232,0.4221598877980365,0.7071780112666841
Logistic Regression,ROC,0.011134086209638938,0.4221598877980365,0.7065209673706171
Logistic Regression,ROC,0.011134086209638938,0.42496493688639553,0.70580962907287
Logistic Regression,ROC,0.011213615396850644,0.42496493688639553,0.7055233756303582
Logistic Regression,ROC,0.011213615396850644,0.42566619915848525,0.7045882294659271
Logistic Regression,ROC,0.01129314458406235,0.42566619915848525,0.7025964550544882
Logistic Regression,ROC,0.01129314458406235,0.4284712482468443,0.7017812503237998
Logistic Regression,ROC,0.011372673771274058,0.4284712482468443,0.7014470455378446
Logistic Regression,ROC,0.011372673771274058,0.42917251051893407,0.7013102004800474
Logistic Regression,ROC,0.011452202958485765,0.42917251051893407,0.7011662766676101
Logistic Regression,ROC,0.011452202958485765,0.42987377279102384,0.7010659655004231
Logistic Regression,ROC,0.011611261332909177,0.42987377279102384,0.7006038041533029
Logistic Regression,ROC,0.011611261332909177,0.438288920056101,0.6961544154729469
Logistic Regression,ROC,0.011690790520120885,0.438288920056101,0.6949645574555793
Logistic Regression,ROC,0.011690790520120885,0.44109396914446003,0.6931114724774603
Logistic Regression,ROC,0.011770319707332591,0.44109396914446003,0.6928058782217171
Logistic Regression,ROC,0.011770319707332591,0.44530154277699857,0.6904993987168402
Logistic Regression,ROC,0.011849848894544298,0.44530154277699857,0.6903312002606826
Logistic Regression,ROC,0.011849848894544298,0.44600280504908835,0.6902801267182225
Logistic Regression,ROC,0.012088436456179418,0.44600280504908835,0.6890068632953554
Logistic Regression,ROC,0.012088436456179418,0.4467040673211781,0.6886226469582638
Logistic Regression,ROC,0.01224749483060283,0.4467040673211781,0.687801395636687
Logistic Regression,ROC,0.01224749483060283,0.4474053295932679,0.6876122788270139
Logistic Regression,ROC,0.012486082392237951,0.4474053295932679,0.6860262519767898
Logistic Regression,ROC,0.012486082392237951,0.44950911640953717,0.6847246925272572
Logistic Regression,ROC,0.012565611579449657,0.44950911640953717,0.6823258351574976
Logistic Regression,ROC,0.012565611579449657,0.45722300140252453,0.6769664499153163
