feature,mean_cv_auc,cv_auc_std,stable_folds,stability_rate
voice_rech_recency_8,0.6397139808361875,0.004690843664525307,5,1.0
offnet_mou_7,0.5577430413640864,0.009813256266966646,3,0.6
loc_og_t2f_mou_8,0.6732427502007673,0.0024869186894249705,5,1.0
total_og_mou_std_6_8,0.5550150369917034,0.005520493944406226,4,0.8
std_og_mou_pct_change_7_to_8,0.5975166019956764,0.006572677690742306,5,1.0
std_og_mou_7,0.517188242360941,0.008621288130492264,0,0.0
loc_og_mou_max_6_8,0.6503016636208034,0.0035417256077435576,5,1.0
std_ic_mou_7,0.5402555812171391,0.0090729231993638,1,0.2
std_og_t2m_mou_7,0.5139352562245043,0.008332629123962577,0,0.0
recharge_amount_std_6_8,0.6237146221222734,0.004173839505291843,5,1.0
std_ic_t2m_mou_7,0.5323500316104786,0.006516830888122471,0,0.0
std_og_mou_std_6_8,0.536703167761549,0.006566310985220256,0,0.0
no_recharge_count_8,0.5895231422847927,0.0007271275020832674,5,1.0
std_ic_mou_std_6_8,0.5545002625583794,0.005406282326310149,4,0.8
total_ic_mou_std_6_8,0.5486307202539231,0.012267878803213835,3,0.6
std_og_mou_pct_change_6_to_8,0.6062151269014284,0.006555477790633996,5,1.0
recharge_count_recent_vs_baseline,0.6869932484766306,0.0034295299970942767,5,1.0
arpu_7,0.6231411469497493,0.006460993297122647,5,1.0
behavioral_decline_count,0.6828120046665163,0.006905820685571446,5,1.0
recharge_num_change_6_to_8,0.6771597182551614,0.002990597449488053,5,1.0
total_rech_amt_7,0.6306091086637211,0.0074205753274417694,5,1.0
max_rech_amt_7,0.6407858916947351,0.0075411959776161075,5,1.0
total_og_mou_max_6_8,0.5472990173597354,0.004597046101317121,2,0.4
data_rech_recency_8,0.5167438924087198,0.0025316016429353314,0,0.0
loc_ic_mou_6,0.627543469504473,0.01292312747917332,5,1.0
total_rech_data_8_missing,0.5996315537968291,0.002774931611053822,5,1.0
spl_og_mou_8,0.6609653402209814,0.0022815020660772144,5,1.0
arpu_std_6_8,0.6770208388334694,0.003455558615503562,5,1.0
loc_ic_t2m_mou_6,0.6228708830053191,0.012757030909874479,5,1.0
loc_ic_t2f_mou_6,0.6150152791970642,0.008291070022593836,5,1.0
max_rech_data_8,0.5098206389624685,0.0036714848044238123,0,0.0
roam_og_mou_min_6_8,0.5830904544233628,0.0030914183581042466,5,1.0
no_recharge_amt_7,0.6142919039937934,0.005603482762870938,5,1.0
arpu_avg_6_8,0.6177755229454444,0.006142441053305748,5,1.0
std_og_mou_6,0.5920433542870509,0.005814631353369901,5,1.0
loc_ic_t2t_mou_6,0.6020086820407059,0.012217762035947865,5,1.0
total_ic_mou_6,0.6438315919691552,0.00902619072095006,5,1.0
std_ic_mou_min_6_8,0.5683089895573971,0.005179412259245529,5,1.0
std_ic_mou_max_6_8,0.531715696121883,0.0046293729892156925,0,0.0
loc_og_t2t_mou_6,0.5839434148099599,0.008374691558121677,5,1.0
std_ic_t2t_mou_8,0.6350473276362801,0.0012978648725694717,5,1.0
loc_og_t2f_mou_7,0.6302922528380293,0.0017637326238018382,5,1.0
total_rech_num_7,0.6019315687246227,0.00615425678433763,5,1.0
total_voice_mou_6,0.5605623660488596,0.005003875478579246,5,1.0
recharge_count_trend_score,0.6290779501481384,0.005681385072513348,5,1.0
arpu_3g_8,0.5036461432585678,0.002511360229523885,0,0.0
loc_og_mou_6,0.601660898089561,0.006362118471831581,5,1.0
av_rech_amt_data_8,0.5173610612274231,0.0034088801827490862,0,0.0
roam_og_mou_8,0.6014584408625987,0.0060310773798111375,5,1.0
roam_ic_mou_min_6_8,0.5801925846881663,0.00318052012211726,5,1.0
voice_rech_recency_7,0.5828043151681872,0.005094818516178459,5,1.0
std_ic_t2f_mou_8,0.5940635636744311,0.0018867033577605957,5,1.0
arpu_2g_8,0.5042812980464785,0.0012887000677758182,0,0.0
